id,month,abg_sku,combo_code,upc,brand,valid_from,valid_to,description,combo_pack_price,qty_items,qty_value,qty_unit,fline_price,combo_price,total_savings,comments
10878,2026-04,172540,172541,810080550032,629746,2026-04-01,2026-04-30,WH PIG PIGGYBK BBN6P,78.18,1   B,1.0,B,39.09,39.09,0.0,"CONTAINS: 1BTL-750ML EACH,WHISTLEPIG BOURBON & PIGGYBK RY2P"
10879,2026-04,171440,172542,850001901116,512128,2026-04-01,2026-04-30,WH PIG PIGGYBK RYE6Y,234.54,3   B,3.0,B,39.09,39.09,0.0,"CONTAINS: 3BTL-750ML EACH,WHISTLEPIG BOURBON & PIGGYBK RY6P"
10880,2026-04,172540,172542,810080550032,629746,2026-04-01,2026-04-30,WH PIG PIGGYBK BBN6P,234.54,3   B,3.0,B,39.09,39.09,0.0,"CONTAINS: 3BTL-750ML EACH,WHISTLEPIG BOURBON & PIGGYBK RY6P"
10881,2026-04,200340,200354,85200028542,537143,2026-04-01,2026-04-30,AMADOR DBWHISK CAB6P,206.0,2   B,2.0,B,32.99,27.29,42.95,"CONTAINS: 1BTL EA 750ML PORT/10YR, 2BTL EA 750 RYE/CHARD FN"
10882,2026-04,200441,200354,85200027675,443793,2026-04-01,2026-04-30,AMADOR WHSKY 10YR 6P,206.0,1   B,1.0,B,90.0,74.47,42.95,"CONTAINS: 1BTL EA 750ML PORT/10YR, 2BTL EA 750 RYE/CHARD FN"
10883,2026-04,200540,200354,85200027972,537142,2026-04-01,2026-04-30,AMADOR DBWHISK CHR6P,206.0,2   B,2.0,B,25.99,21.5,42.95,"CONTAINS: 1BTL EA 750ML PORT/10YR, 2BTL EA 750 RYE/CHARD FN"
10884,2026-04,200840,200354,85200028696,537144,2026-04-01,2026-04-30,AMADOR DB RYE PORT6P,206.0,1   B,1.0,B,40.99,33.91,42.95,"CONTAINS: 1BTL EA 750ML PORT/10YR, 2BTL EA 750 RYE/CHARD FN"
10885,2026-04,200340,200544,85200028542,537143,2026-04-01,2026-04-30,AMADOR DBWHISK CAB6P,173.0,2   B,2.0,B,32.99,28.54,26.94,"CONTAINS: 2BTL EACH 750ML RYE,CHARD & CAB FINISH"
10886,2026-04,200540,200544,85200027972,537142,2026-04-01,2026-04-30,AMADOR DBWHISK CHR6P,173.0,2   B,2.0,B,25.99,22.48,26.94,"CONTAINS: 2BTL EACH 750ML RYE,CHARD & CAB FINISH"
10887,2026-04,200840,200544,85200028696,537144,2026-04-01,2026-04-30,AMADOR DB RYE PORT6P,173.0,2   B,2.0,B,40.99,35.46,26.94,"CONTAINS: 2BTL EACH 750ML RYE,CHARD & CAB FINISH"
10888,2026-04,203020,203022,80686012320,492804,2026-04-01,2026-04-30,BASIL HAYDEN BBN,415.0,1   C,1.0,C,71.09,60.63,71.54,CONTAINS: 1C EA 1.75L BASIL HAYDEN BBN/355ML -196 CRUSH VP
10889,2026-04,5983760,203022,80686007630,676797,2026-04-01,2026-04-30,-196 CRUSH VAR 3X8,415.0,1   C,1.0,C,20.0,17.06,71.54,CONTAINS: 1C EA 1.75L BASIL HAYDEN BBN/355ML -196 CRUSH VP
10890,2026-04,203030,203034,80686012139,492804,2026-04-01,2026-04-30,BASIL HAYDEN BBN 6P,255.0,1   C,1.0,C,47.09,35.05,87.54,CONTAINS: 1C EA 1L BASIL HAYDEN BBN & 355ML -196 LEMON
10891,2026-04,5983360,203034,80686004585,668228,2026-04-01,2026-04-30,-196 LEMON 6X4,255.0,1   C,1.0,C,10.0,7.44,87.54,CONTAINS: 1C EA 1L BASIL HAYDEN BBN & 355ML -196 LEMON
10892,2026-04,203840,203844,39383006507,156096,2026-04-01,2026-04-30,MICHTR #1 SB RYE 6P,75.78,1   B,1.0,B,38.09,37.88,0.4,CONTAINS: 1BT EA-750ML MITCHERS #1 SB RYE & SB BOURBON
10893,2026-04,204340,203844,39383007184,210037,2026-04-01,2026-04-30,MICHTR #1 SB BBN 6P,75.78,1   B,1.0,B,38.09,37.88,0.4,CONTAINS: 1BT EA-750ML MITCHERS #1 SB RYE & SB BOURBON
10894,2026-04,203840,203845,39383006507,156096,2026-04-01,2026-04-30,MICHTR #1 SB RYE 6P,151.56,1   B,1.0,B,38.09,38.91,-3.2,"CONTAINS: 1BT EA-750ML MITCHERS #1 SB RYE,BBN,AM WHK & SRMH"
10895,2026-04,204240,203845,39383005944,156095,2026-04-01,2026-04-30,MICHTR #1 AM WKY 6P,151.56,1   B,1.0,B,36.09,36.86,-3.2,"CONTAINS: 1BT EA-750ML MITCHERS #1 SB RYE,BBN,AM WHK & SRMH"
10896,2026-04,204340,203845,39383007184,210037,2026-04-01,2026-04-30,MICHTR #1 SB BBN 6P,151.56,1   B,1.0,B,38.09,38.91,-3.2,"CONTAINS: 1BT EA-750ML MITCHERS #1 SB RYE,BBN,AM WHK & SRMH"
10897,2026-04,204440,203845,39383009072,317896,2026-04-01,2026-04-30,MICHTR #1 SOURMASH6P,151.56,1   B,1.0,B,36.09,36.86,-3.2,"CONTAINS: 1BT EA-750ML MITCHERS #1 SB RYE,BBN,AM WHK & SRMH"
10898,2026-04,203840,203846,39383006507,156096,2026-04-01,2026-04-30,MICHTR #1 SB RYE 6P,222.54,3   B,3.0,B,38.09,37.08,6.0,CONTAINS: 3BT EA-750ML MITCHERS #1 SB RYE & SB BOURBON
10899,2026-04,204340,203846,39383007184,210037,2026-04-01,2026-04-30,MICHTR #1 SB BBN 6P,222.54,3   B,3.0,B,38.09,37.08,6.0,CONTAINS: 3BT EA-750ML MITCHERS #1 SB RYE & SB BOURBON
10900,2026-04,203840,203847,39383006507,156096,2026-04-01,2026-04-30,MICHTR #1 SB RYE 6P,445.08,3   B,3.0,B,38.09,38.09,0.0,"CONTAINS: 3BT EA-750ML MITCHERS #1 SB RYE,BBN,AM WHK & SRMH"
10901,2026-04,204240,203847,39383005944,156095,2026-04-01,2026-04-30,MICHTR #1 AM WKY 6P,445.08,3   B,3.0,B,36.09,36.09,0.0,"CONTAINS: 3BT EA-750ML MITCHERS #1 SB RYE,BBN,AM WHK & SRMH"
10902,2026-04,204340,203847,39383007184,210037,2026-04-01,2026-04-30,MICHTR #1 SB BBN 6P,445.08,3   B,3.0,B,38.09,38.09,0.0,"CONTAINS: 3BT EA-750ML MITCHERS #1 SB RYE,BBN,AM WHK & SRMH"
10903,2026-04,204440,203847,39383009072,317896,2026-04-01,2026-04-30,MICHTR #1 SOURMASH6P,445.08,3   B,3.0,B,36.09,36.09,0.0,"CONTAINS: 3BT EA-750ML MITCHERS #1 SB RYE,BBN,AM WHK & SRMH"
10904,2026-04,203840,203848,39383006507,156096,2026-04-01,2026-04-30,MICHTR #1 SB RYE 6P,713.99,3   B,3.0,B,38.09,36.93,22.36,"CONTAINS: 3BT EACH-MICHTER'S SB RYE,AM WHY,SB BB,SMSH& BRYE"
10905,2026-04,204140,203848,39383009942,375630,2026-04-01,2026-04-30,MICHTER BARREL RYE3P,713.99,3   B,3.0,B,97.09,94.13,22.36,"CONTAINS: 3BT EACH-MICHTER'S SB RYE,AM WHY,SB BB,SMSH& BRYE"
10906,2026-04,204240,203848,39383005944,156095,2026-04-01,2026-04-30,MICHTR #1 AM WKY 6P,713.99,3   B,3.0,B,36.09,34.99,22.36,"CONTAINS: 3BT EACH-MICHTER'S SB RYE,AM WHY,SB BB,SMSH& BRYE"
10907,2026-04,204340,203848,39383007184,210037,2026-04-01,2026-04-30,MICHTR #1 SB BBN 6P,713.99,3   B,3.0,B,38.09,36.93,22.36,"CONTAINS: 3BT EACH-MICHTER'S SB RYE,AM WHY,SB BB,SMSH& BRYE"
10908,2026-04,204440,203848,39383009072,317896,2026-04-01,2026-04-30,MICHTR #1 SOURMASH6P,713.99,3   B,3.0,B,36.09,34.99,22.36,"CONTAINS: 3BT EACH-MICHTER'S SB RYE,AM WHY,SB BB,SMSH& BRYE"
10909,2026-04,203840,203849,39383006507,156096,2026-04-01,2026-04-30,MICHTR #1 SB RYE 6P,103.99,1   B,1.0,B,38.09,37.3,2.18,CONTAINS: 1BT 750ML EA-MITCHR SB BBN/RYE & LOS S DOBA-YEJ
10910,2026-04,204340,203849,39383007184,210037,2026-04-01,2026-04-30,MICHTR #1 SB BBN 6P,103.99,1   B,1.0,B,38.09,37.3,2.18,CONTAINS: 1BT 750ML EA-MITCHR SB BBN/RYE & LOS S DOBA-YEJ
10911,2026-04,4310440,203849,7503016487337,582120,2026-04-01,2026-04-30,LOS SIETE DOBA-YEJ6P,103.99,1   B,1.0,B,29.99,29.37,2.18,CONTAINS: 1BT 750ML EA-MITCHR SB BBN/RYE & LOS S DOBA-YEJ
10912,2026-04,204140,204141,39383009942,375630,2026-04-01,2026-04-30,MICHTER BARREL RYE3P,147.99,1   B,1.0,B,97.09,96.97,0.18,"CONTAINS: 1BT EA.-750ML MICHTER BRL,FRMR GN & LOS S DOBA-YJ"
10913,2026-04,1081140,204141,39383008570,617673,2026-04-01,2026-04-30,FARMERS GIN 6P,147.99,1   B,1.0,B,21.09,21.06,0.18,"CONTAINS: 1BT EA.-750ML MICHTER BRL,FRMR GN & LOS S DOBA-YJ"
10914,2026-04,4310440,204141,7503016487337,582120,2026-04-01,2026-04-30,LOS SIETE DOBA-YEJ6P,147.99,1   B,1.0,B,29.99,29.95,0.18,"CONTAINS: 1BT EA.-750ML MICHTER BRL,FRMR GN & LOS S DOBA-YJ"
10915,2026-04,204240,204242,39383005944,156095,2026-04-01,2026-04-30,MICHTR #1 AM WKY 6P,216.99,1   C,1.0,C,36.09,32.95,20.64,CONTAINS: 1CS 750ML MITCHERS AMR WH &1BT FARMERS GIN
10916,2026-04,1081140,204242,39383008570,617673,2026-04-01,2026-04-30,FARMERS GIN 6P,216.99,1   B,1.0,B,21.09,19.25,20.64,CONTAINS: 1CS 750ML MITCHERS AMR WH &1BT FARMERS GIN
10917,2026-04,203840,204441,39383006507,156096,2026-04-01,2026-04-30,MICHTR #1 SB RYE 6P,621.06,3   B,3.0,B,38.09,37.36,12.0,CONTAINS: 3BTS-EA.750ML MITCHR #1 HIGH EDS & 1BT EA SHK/BBR
10918,2026-04,204240,204441,39383005944,156095,2026-04-01,2026-04-30,MICHTR #1 AM WKY 6P,621.06,3   B,3.0,B,36.09,35.4,12.0,CONTAINS: 3BTS-EA.750ML MITCHR #1 HIGH EDS & 1BT EA SHK/BBR
10919,2026-04,204241,204441,39383011648,427622,2026-04-01,2026-04-30,SHENKS SOUR MASH 3P,621.06,1   B,1.0,B,88.99,87.29,12.0,CONTAINS: 3BTS-EA.750ML MITCHR #1 HIGH EDS & 1BT EA SHK/BBR
10920,2026-04,204340,204441,39383007184,210037,2026-04-01,2026-04-30,MICHTR #1 SB BBN 6P,621.06,3   B,3.0,B,38.09,37.36,12.0,CONTAINS: 3BTS-EA.750ML MITCHR #1 HIGH EDS & 1BT EA SHK/BBR
10921,2026-04,204440,204441,39383009072,317896,2026-04-01,2026-04-30,MICHTR #1 SOURMASH6P,621.06,3   B,3.0,B,36.09,35.4,12.0,CONTAINS: 3BTS-EA.750ML MITCHR #1 HIGH EDS & 1BT EA SHK/BBR
10922,2026-04,1717040,204441,393830011600,427923,2026-04-01,2026-04-30,BOMBERGER BBN 108 3P,621.06,1   B,1.0,B,98.99,97.1,12.0,CONTAINS: 3BTS-EA.750ML MITCHR #1 HIGH EDS & 1BT EA SHK/BBR
10923,2026-04,204440,204442,39383009072,317896,2026-04-01,2026-04-30,MICHTR #1 SOURMASH6P,219.99,1   C,1.0,C,36.09,32.2,26.54,CONTAINS: 1CS 750ML MITCHRS SOUR MSH & 1BT LOS SIETE DBA YJ
10924,2026-04,4310440,204442,7503016487337,582120,2026-04-01,2026-04-30,LOS SIETE DOBA-YEJ6P,219.99,1   B,1.0,B,29.99,26.76,26.54,CONTAINS: 1CS 750ML MITCHRS SOUR MSH & 1BT LOS SIETE DBA YJ
10925,2026-04,212040,212044,88352133942,745398,2026-04-01,2026-04-30,REBEL KSBW 100PF 6P,90.54,3   B,3.0,B,19.09,15.09,24.0,CONTAINS: 3BT 750ML EA REBEL 100 & REBEL ROOT BEER
10926,2026-04,212340,212044,8835213122,787100,2026-04-01,2026-04-30,REBEL ROOT BEER 6P,90.54,3   B,3.0,B,19.09,15.09,24.0,CONTAINS: 3BT 750ML EA REBEL 100 & REBEL ROOT BEER
10927,2026-04,226040,226057,82184090466,649400,2026-04-01,2026-04-30,JACK DAN #7,175.0,2   B,2.0,B,28.09,21.87,49.72,"CONTAINS: 750ML- 2BTL EA JD #7, HONEY, FIRE & BLACKBERRY"
10928,2026-04,254040,226057,82184000335,581318,2026-04-01,2026-04-30,JACK DAN HONEY,175.0,2   B,2.0,B,28.09,21.87,49.72,"CONTAINS: 750ML- 2BTL EA JD #7, HONEY, FIRE & BLACKBERRY"
10929,2026-04,264740,226057,82184008737,758230,2026-04-01,2026-04-30,JACK DAN BLACKBERRY,175.0,2   B,2.0,B,28.09,21.87,49.72,"CONTAINS: 750ML- 2BTL EA JD #7, HONEY, FIRE & BLACKBERRY"
10930,2026-04,830040,226057,82184001172,581786,2026-04-01,2026-04-30,JACK DAN FIRE,175.0,2   B,2.0,B,28.09,21.87,49.72,"CONTAINS: 750ML- 2BTL EA JD #7, HONEY, FIRE & BLACKBERRY"
10931,2026-04,227240,227261,904230049733,602629,2026-04-01,2026-04-30,NIKKA FROM THE BAR6P,168.36,1   B,1.0,B,56.09,50.94,17.0,CONTAINS: 3BTLS 500ML FTB & 1BTL 750ML FTB
10932,2026-04,227260,227261,0,782311,2026-04-01,2026-04-30,NIKKA FTB,168.36,3   B,3.0,B,43.09,39.13,17.0,CONTAINS: 3BTLS 500ML FTB & 1BTL 750ML FTB
10933,2026-04,227260,227264,0,782311,2026-04-01,2026-04-30,NIKKA FTB,258.54,3   B,3.0,B,43.09,38.6,30.0,CONTAINS: 3BTLS EA 500ML FTB & XMRG
10934,2026-04,227960,227264,4904230075325,782312,2026-04-01,2026-04-30,NIKKA FTB XMRG,258.54,3   B,3.0,B,53.09,47.56,30.0,CONTAINS: 3BTLS EA 500ML FTB & XMRG
10935,2026-04,227430,227431,80686958055,472968,2026-04-01,2026-04-30,SUNTORY HAKU VDK 6P,49.0,1   B,1.0,B,32.09,25.28,13.18,CONTAINS: 1B LITER EA SUNTORY HAKU VODKA & ROKU GIN
10936,2026-04,227540,227431,80686958031,472967,2026-04-01,2026-04-30,SUNTORY ROKU GIN 6P,49.0,1   B,1.0,B,30.09,23.71,13.18,CONTAINS: 1B LITER EA SUNTORY HAKU VODKA & ROKU GIN
