id,invoice_id,line_no,raw_description,raw_upc,qty,unit_price,line_total,item_id,item_upc,item_description,match_method,match_score,cost_delta_pct,notes,translated_qty
110,7,8,50ML KETEL ONE VODKA 80 (PET) 12PK,114700,3.0,15.96,478.8,3795,8515640495,KETEL ONE VODKA 50ML,desc,0.595,1100.0,,
111,7,9,375ML SVEDKA VODKA (PET),117120,5.0,3.57,427.7,4848,617768113752,SVEDKA VODKA 80 375ML,cost+desc,0.591,0.2808988764044884,,
112,7,10,375ML BARTON VODKA 80,111520,0.0,,0.0,13232,8066047207,BARTON VODKA 375ML,desc,0.717,,,
113,7,11,1.75LT BARTON VODKA 80,111560,0.0,,0.0,,,,none,0.0,,,
114,7,12,50ML CROWN ROYAL BLACKBERRY 6PK,72200,0.0,,0.0,,,,none,0.0,,,
115,7,13,50ML CROWN ROYAL REGAL APPLE 6PK,85700,0.0,,0.0,14642,824580,CROWN ROYAL APPLE  50ML,desc,0.662,,,
116,7,14,50ML JOHN WALKER BLACK (PET) 12PK,68900,0.0,,0.0,10886,891110,J WALKER BLACK 50ML,desc,0.531,,,
117,8,1,50 ML BAILEYS C & C 80/20,1670190,,239.2,26.6,,,,none,0.0,,,
118,8,2,50 ML BAILEYS C & C 80/20,1670190,,239.2,26.6,,,,none,0.0,,,
119,8,3,50 ML BAILEYS IRISH 80/20,1669099,,239.2,26.6,,,,none,0.0,,,
120,8,4,750ML BUCHAN PINE FIFA GL,0409442,,198.54,28.493,,,,none,0.0,,,
121,8,5,200ML BUCHANAN 12YR 24/6,0409070,,218.16,35.94,,,,none,0.0,,,
122,8,6,1.75L DON JULIO REPOSADO3P,3850020,,297.27,99.09162,17050,7454500108,DON JULIO ANEJO 1942 1.75L,cost+desc,0.485,0.5785953177257586,,
123,8,7,50 ML J WALKER BLK 120/12,0443090,,478.8,15.48,,,,none,0.0,,,
124,8,8,750ML MACALLAN SHY OAK 12Y,0460040,,913.08,76.09,,,,none,0.0,,,
125,8,9,CMB@ DON JULIO AST BLAN9P,3806023,,376.06,376.06,,,,none,0.0,,,
126,9,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,0.737,0.0,,
127,9,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
128,9,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,,,,none,0.0,,,
129,9,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
130,9,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,,,,none,0.0,,,
131,9,6,200ML JOHN WALKER GOLD RESERVE,11910,2.0,11.25,540.0,,,,none,0.0,,,
132,9,7,750ML 750 ML KETEL ONE VODKA 80,114740,5.0,18.99,1139.4,10484,8515651541,KETEL ONE VODKA 750ML,desc,0.662,0.0,,
133,9,8,50ML KETEL ONE VODKA 80 (PET) 12PK,114700,3.0,15.96,478.8,3795,8515640495,KETEL ONE VODKA 50ML,desc,0.652,1100.0,,
134,9,9,375ML SVEDKA VODKA (PET),117120,5.0,3.57,427.7,4848,617768113752,SVEDKA VODKA 80 375ML,cost+desc,0.681,0.2808988764044884,,
135,9,10,375ML BARTON VODKA 80,111520,0.0,,0.0,13232,8066047207,BARTON VODKA 375ML,desc,0.717,,,
136,9,11,1.75LT BARTON VODKA 80,111560,0.0,,0.0,,,,none,0.0,,,
137,9,12,50ML CROWN ROYAL BLACKBERRY 6PK,72200,0.0,,0.0,784,8676722004,SAMBUCA ROMANA LITER,upc_partial,0.85,,,
138,9,13,50ML CROWN ROYAL REGAL APPLE 6PK,85700,0.0,,0.0,15746,8885700162,YAMAZAKI JAPANESE 18YR,upc_partial,0.85,,,
139,9,14,50ML JOHN WALKER BLACK (PET) 12PK,68900,0.0,,0.0,2315,125468900,KRIMSKOYE RED SEMI SWEET,upc_partial,0.85,,,
140,10,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,0.887,0.0,,
141,10,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
142,10,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,13469,8200077155,CROWN ROYAL APPLE 375ML,desc,0.742,0.0,,
143,10,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
144,10,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,5197,8719902,CROWN ROYAL 50ML,desc,0.717,499.9999999999999,,
145,10,6,200ML JOHN WALKER GOLD RESERVE,11910,2.0,11.25,540.0,,,,none,0.0,,,
146,10,7,750ML 750 ML KETEL ONE VODKA 80,114740,5.0,18.99,1139.4,10484,8515651541,KETEL ONE VODKA 750ML,desc,0.662,0.0,,
147,10,8,50ML KETEL ONE VODKA 80 (PET) 12PK,114700,3.0,15.96,478.8,3795,8515640495,KETEL ONE VODKA 50ML,desc,0.652,1100.0,,
148,10,9,375ML SVEDKA VODKA (PET),117120,5.0,3.57,427.7,4848,617768113752,SVEDKA VODKA 80 375ML,cost+desc,0.8310000000000001,0.2808988764044884,,
149,10,10,375ML BARTON VODKA 80,111520,0.0,,0.0,13232,8066047207,BARTON VODKA 375ML,desc,0.717,,,
150,10,11,1.75LT BARTON VODKA 80,111560,0.0,,0.0,,,,none,0.0,,,
151,10,12,50ML CROWN ROYAL BLACKBERRY 6PK,72200,0.0,,0.0,,,,none,0.0,,,
152,10,13,50ML CROWN ROYAL REGAL APPLE 6PK,85700,0.0,,0.0,14642,824580,CROWN ROYAL APPLE  50ML,desc,0.662,,,
153,10,14,50ML JOHN WALKER BLACK (PET) 12PK,68900,0.0,,0.0,,,,none,0.0,,,
154,11,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,1.0,0.0,,
155,11,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
156,11,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,,,,none,0.0,,,
157,11,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
158,11,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,5197,8719902,CROWN ROYAL 50ML,desc,0.717,499.9999999999999,,
159,11,6,200ML JOHN WALKER GOLD RESERVE,11910,2.0,11.25,540.0,18847,826080,J WALKER GOLD 200 ML ,cost+desc,0.67,0.0,,
160,11,7,750ML 750 ML KETEL ONE VODKA 80,114740,5.0,18.99,1139.4,23668,8515647500,KETEL ONE ORANGE 750,cost+desc,0.5603333333333333,0.0,,
161,11,8,50ML KETEL ONE VODKA 80 (PET) 12PK,114700,3.0,15.96,478.8,3795,8515640495,KETEL ONE VODKA 50ML,desc,0.652,1100.0,,
162,11,9,375ML SVEDKA VODKA (PET),117120,5.0,3.57,427.7,4848,617768113752,SVEDKA VODKA 80 375ML,cost+desc,1.0,0.2808988764044884,,
163,11,10,375ML BARTON VODKA 80,111520,0.0,,0.0,13232,8066047207,BARTON VODKA 375ML,desc,0.717,,,
164,11,11,1.75LT BARTON VODKA 80,111560,0.0,,0.0,,,,none,0.0,,,
165,11,12,50ML CROWN ROYAL BLACKBERRY 6PK,72200,0.0,,0.0,,,,none,0.0,,,
166,11,13,50ML CROWN ROYAL REGAL APPLE 6PK,85700,0.0,,0.0,,,,none,0.0,,,
167,11,14,50ML JOHN WALKER BLACK (PET) 12PK,68900,0.0,,0.0,,,,none,0.0,,,
168,12,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,1.0,0.0,,
169,12,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
170,12,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,,,,none,0.0,,,
171,12,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
172,12,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,5197,8719902,CROWN ROYAL 50ML,desc,0.717,499.9999999999999,,
173,12,6,200ML JOHN WALKER GOLD RESERVE,11910,2.0,11.25,540.0,18847,826080,J WALKER GOLD 200 ML ,cost+desc,0.67,0.0,,
174,12,7,750ML 750 ML KETEL ONE VODKA 80,114740,5.0,18.99,1139.4,23668,8515647500,KETEL ONE ORANGE 750,cost+desc,0.5603333333333333,0.0,,
175,12,8,50ML KETEL ONE VODKA 80 (PET) 12PK,114700,3.0,15.96,478.8,3795,8515640495,KETEL ONE VODKA 50ML,desc,0.652,1100.0,,
176,12,9,375ML SVEDKA VODKA (PET),117120,5.0,3.57,427.7,4848,617768113752,SVEDKA VODKA 80 375ML,cost+desc,1.0,0.2808988764044884,,
177,12,10,375ML BARTON VODKA 80,111520,0.0,,0.0,13232,8066047207,BARTON VODKA 375ML,desc,0.717,,,
178,12,11,1.75LT BARTON VODKA 80,111560,0.0,,0.0,,,,none,0.0,,,
179,12,12,50ML CROWN ROYAL BLACKBERRY 6PK,72200,0.0,,0.0,,,,none,0.0,,,
180,12,13,50ML CROWN ROYAL REGAL APPLE 6PK,85700,0.0,,0.0,,,,none,0.0,,,
181,12,14,50ML JOHN WALKER BLACK (PET) 12PK,68900,0.0,,0.0,10886,891110,J WALKER BLACK 50ML,desc,0.591,,,
182,13,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,1.0,0.0,,
183,13,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
184,13,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,13469,8200077155,CROWN ROYAL APPLE 375ML,desc,0.742,0.0,,
185,13,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
186,13,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,5197,8719902,CROWN ROYAL 50ML,desc,0.717,499.9999999999999,,
187,13,6,200ML JOHN WALKER GOLD RESERVE,11910,2.0,11.25,540.0,18847,826080,J WALKER GOLD 200 ML ,cost+desc,0.67,0.0,,
188,13,7,750ML 750 ML KETEL ONE VODKA 80,114740,5.0,18.99,1139.4,23668,8515647500,KETEL ONE ORANGE 750,cost+desc,0.5603333333333333,0.0,,
189,13,8,50ML KETEL ONE VODKA 80 (PET) 12PK,114700,3.0,15.96,478.8,3795,8515640495,KETEL ONE VODKA 50ML,desc,0.652,1100.0,,
190,13,9,375ML SVEDKA VODKA (PET),117120,5.0,3.57,427.7,4848,617768113752,SVEDKA VODKA 80 375ML,cost+desc,1.0,0.2808988764044884,,
191,13,10,375ML BARTON VODKA 80,111520,0.0,,0.0,13232,8066047207,BARTON VODKA 375ML,desc,0.717,,,
192,13,11,1.75LT BARTON VODKA 80,111560,0.0,,0.0,,,,none,0.0,,,
193,13,12,50ML CROWN ROYAL BLACKBERRY 6PK,72200,0.0,,0.0,,,,none,0.0,,,
194,13,13,50ML CROWN ROYAL REGAL APPLE 6PK,85700,0.0,,0.0,14642,824580,CROWN ROYAL APPLE  50ML,desc,0.662,,,
195,13,14,50ML JOHN WALKER BLACK (PET) 12PK,68900,0.0,,0.0,10886,891110,J WALKER BLACK 50ML,desc,0.591,,,
196,14,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,1.0,0.0,,
197,14,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
198,14,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,13469,8200077155,CROWN ROYAL APPLE 375ML,desc,0.742,0.0,,
199,14,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
200,14,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,5197,8719902,CROWN ROYAL 50ML,desc,0.717,499.9999999999999,,
201,14,6,200ML JOHN WALKER GOLD RESERVE,11910,2.0,11.25,540.0,18847,826080,J WALKER GOLD 200 ML ,cost+desc,0.67,0.0,,
202,14,7,750ML 750 ML KETEL ONE VODKA 80,114740,5.0,18.99,1139.4,10484,8515651541,KETEL ONE VODKA 750ML,desc,0.662,0.0,,
203,14,8,50ML KETEL ONE VODKA 80 (PET) 12PK,114700,3.0,15.96,478.8,3795,8515640495,KETEL ONE VODKA 50ML,desc,0.652,1100.0,,
204,14,9,375ML SVEDKA VODKA (PET),117120,5.0,3.57,427.7,4848,617768113752,SVEDKA VODKA 80 375ML,cost+desc,1.0,0.2808988764044884,,
205,14,10,375ML BARTON VODKA 80,111520,0.0,,0.0,13232,8066047207,BARTON VODKA 375ML,desc,0.717,,,
206,14,11,1.75LT BARTON VODKA 80,111560,0.0,,0.0,,,,none,0.0,,,
207,14,12,50ML CROWN ROYAL BLACKBERRY 6PK,72200,0.0,,0.0,,,,none,0.0,,,
208,14,13,50ML CROWN ROYAL REGAL APPLE 6PK,85700,0.0,,0.0,14642,824580,CROWN ROYAL APPLE  50ML,desc,0.662,,,
209,14,14,50ML JOHN WALKER BLACK (PET) 12PK,68900,0.0,,0.0,10886,891110,J WALKER BLACK 50ML,desc,0.591,,,
210,15,1,50 ML BAILEYS C & C 80/20,1670190,,239.2,26.6,,,,none,0.0,,,
211,15,2,50 ML BAILEYS C & C 80/20,1670190,,239.2,26.6,,,,none,0.0,,,
212,15,3,50 ML BAILEYS IRISH 80/20,1669099,,239.2,26.6,,,,none,0.0,,,
213,15,4,750ML BUCHAN PINE FIFA GL,0409442,,198.54,28.493,,,,none,0.0,,,
214,15,5,200ML BUCHANAN 12YR 24/6,0409070,,218.16,35.94,,,,none,0.0,,,
215,15,6,1.75L DON JULIO REPOSADO3P,3850020,,297.27,99.09162,,,,none,0.0,,,
216,15,7,50 ML J WALKER BLK 120/12,0443090,,478.8,15.48,,,,none,0.0,,,
217,15,8,750ML MACALLAN SHY OAK 12Y,0460040,,913.08,76.09,,,,none,0.0,,,
218,15,9,CMB@ DON JULIO AST BLAN9P,3806023,,376.06,376.06,,,,none,0.0,,,
219,16,1,50 ML BAILEYS C & C 80/20,1670190,,239.2,26.6,,,,none,0.0,,,
220,16,2,50 ML BAILEYS C & C 80/20,1670190,,239.2,26.6,,,,none,0.0,,,
221,16,3,50 ML BAILEYS IRISH 80/20,1669099,,239.2,26.6,,,,none,0.0,,,
222,16,4,750ML BUCHAN PINE FIFA GL,0409442,,198.54,28.493,,,,none,0.0,,,
223,16,5,200ML BUCHANAN 12YR 24/6,0409070,,218.16,35.94,,,,none,0.0,,,
224,16,6,1.75L DON JULIO REPOSADO3P,3850020,,297.27,99.09162,,,,none,0.0,,,
225,16,7,50 ML J WALKER BLK 120/12,0443090,,478.8,15.48,,,,none,0.0,,,
226,16,8,750ML MACALLAN SHY OAK 12Y,0460040,,913.08,76.09,,,,none,0.0,,,
227,16,9,CMB@ DON JULIO AST BLAN9P,3806023,,376.06,376.06,,,,none,0.0,,,
228,17,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,1.0,0.0,,
229,17,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
230,17,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,13469,8200077155,CROWN ROYAL APPLE 375ML,desc,0.742,0.0,,
231,17,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
232,17,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,5197,8719902,CROWN ROYAL 50ML,desc,0.717,499.9999999999999,,
233,17,6,200ML JOHN WALKER GOLD RESERVE,11910,2.0,11.25,540.0,18847,826080,J WALKER GOLD 200 ML ,cost+desc,0.67,0.0,,
234,17,7,750ML 750 ML KETEL ONE VODKA 80,114740,5.0,18.99,1139.4,10484,8515651541,KETEL ONE VODKA 750ML,desc,0.662,0.0,,
235,17,8,50ML KETEL ONE VODKA 80 (PET) 12PK,114700,3.0,15.96,478.8,3795,8515640495,KETEL ONE VODKA 50ML,desc,0.652,1100.0,,
236,17,9,375ML SVEDKA VODKA (PET),117120,5.0,3.57,427.7,4848,617768113752,SVEDKA VODKA 80 375ML,cost+desc,1.0,0.2808988764044884,,
237,17,10,375ML BARTON VODKA 80,111520,0.0,,0.0,13232,8066047207,BARTON VODKA 375ML,desc,0.717,,,
238,17,11,1.75LT BARTON VODKA 80,111560,0.0,,0.0,,,,none,0.0,,,
239,17,12,50ML CROWN ROYAL BLACKBERRY 6PK,72200,0.0,,0.0,,,,none,0.0,,,
240,17,13,50ML CROWN ROYAL REGAL APPLE 6PK,85700,0.0,,0.0,14642,824580,CROWN ROYAL APPLE  50ML,desc,0.662,,,
241,17,14,50ML JOHN WALKER BLACK (PET) 12PK,68900,0.0,,0.0,10886,891110,J WALKER BLACK 50ML,desc,0.591,,,
242,18,1,50 ML BAILEYS C & C 80/20,1670190,1.0,26.6,26.6,,,,none,0.0,,,
243,18,2,50 ML BAILEYS C & C 80/20,1670190,3.0,26.6,79.80000000000001,,,,none,0.0,,,
244,18,3,50 ML BAILEYS IRISH 80/20,1669099,5.0,26.6,133.0,,,,none,0.0,,,
245,18,4,750ML BUCHAN PINE FIFA GL,0409442,3.0,28.493,85.479,,,,none,0.0,,,
246,18,5,200ML BUCHANAN 12YR 24/6,0409070,2.0,35.94,71.88,,,,none,0.0,,,
247,18,6,1.75L DON JULIO REPOSADO3P,3850020,3.0,99.09162,297.27486,,,,none,0.0,,,
248,18,7,50 ML J WALKER BLK 120/12,0443090,10.0,15.48,154.8,,,,none,0.0,,,
249,18,8,750ML MACALLAN SHY OAK 12Y,0460040,1.0,76.09,76.09,11755,8723610000,MACALLAN SHRY CASK 12YR 750ML,cost+desc,0.626,0.0,,
250,18,9,CMB@ DON JULIO AST BLAN9P,3806023,1.0,376.06,376.06,,,,none,0.0,,,
251,19,1,50 ML BAILEYS C & C 80/20,1670190,1.0,26.6,26.6,,,,none,0.0,,,
252,19,2,50 ML BAILEYS C & C 80/20,1670190,3.0,26.6,79.80000000000001,,,,none,0.0,,,
253,19,3,50 ML BAILEYS IRISH 80/20,1669099,5.0,26.6,133.0,,,,none,0.0,,,
254,19,4,750ML BUCHAN PINE FIFA GL,0409442,3.0,28.493,85.479,,,,none,0.0,,,
255,19,5,200ML BUCHANAN 12YR 24/6,0409070,2.0,35.94,71.88,,,,none,0.0,,,
256,19,6,1.75L DON JULIO REPOSADO3P,3850020,3.0,99.09162,297.27486,12245,7454500063,DON JULIO REPOSADO TEQ. 1.75L,cost+desc,0.812,0.0016348773841988289,,
257,19,7,50 ML J WALKER BLK 120/12,0443090,10.0,15.48,154.8,,,,none,0.0,,,
258,19,8,750ML MACALLAN SHY OAK 12Y,0460040,1.0,76.09,76.09,11755,8723610000,MACALLAN SHRY CASK 12YR 750ML,cost+desc,0.626,0.0,,
259,19,9,CMB@ DON JULIO AST BLAN9P,3806023,1.0,376.06,376.06,,,,none,0.0,,,
260,20,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,1.0,0.0,,
261,20,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
262,20,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,,,,none,0.0,,,
263,20,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
264,20,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,5197,8719902,CROWN ROYAL 50ML,desc,0.717,499.9999999999999,,
